player_id,short_name,fifa_version,long_name,height_cm,overall,age,nationality_name,pace,shooting,passing,dribbling,defending,physic
256790,J. Musiala,24.0,Jamal Musiala,184,86,20,Germany,85.0,75.0,76.0,91.0,63.0,61.0
247635,K. Kvaratskhelia,24.0,Khvicha Kvaratskhelia,183,86,22,Georgia,84.0,80.0,81.0,87.0,41.0,71.0
251854,Pedri,24.0,Pedro González López,174,86,20,Spain,78.0,69.0,82.0,88.0,70.0,74.0
241721,Rafael Leão,24.0,Rafael Alexandre Conceição Leão,188,86,24,Portugal,93.0,80.0,75.0,87.0,27.0,76.0
252371,J. Bellingham,24.0,Jude Victor William Bellingham,186,86,20,England,76.0,78.0,80.0,85.0,78.0,82.0
253163,R. Araujo,24.0,Ronald Federico Araújo da Silva,188,86,24,Uruguay,79.0,51.0,65.0,62.0,86.0,84.0
246669,B. Saka,24.0,Bukayo Saka,178,86,21,England,85.0,81.0,79.0,87.0,60.0,70.0
235243,M. de Ligt,24.0,Matthijs de Ligt,189,86,23,Netherlands,66.0,61.0,64.0,68.0,85.0,86.0
240130,Éder Militão,24.0,Éder Gabriel Militão,186,86,25,Brazil,85.0,50.0,69.0,71.0,86.0,82.0
241096,S. Tonali,24.0,Sandro Tonali,181,86,23,Italy,84.0,74.0,81.0,81.0,82.0,84.0
224232,N. Barella,24.0,Nicolò Barella,175,86,26,Italy,78.0,78.0,82.0,85.0,78.0,80.0
231281,T. Alexander-Arnold,24.0,Trent Alexander-Arnold,180,86,24,England,76.0,69.0,90.0,79.0,80.0,73.0
232411,C. Nkunku,24.0,Christopher Nkunku,175,86,25,France,82.0,81.0,83.0,88.0,62.0,67.0
231443,O. Dembélé,24.0,Ousmane Dembélé,178,86,26,France,93.0,77.0,81.0,87.0,36.0,57.0
20801,Cristiano Ronaldo,24.0,Cristiano Ronaldo dos Santos Aveiro,187,86,38,Portugal,77.0,88.0,75.0,80.0,34.0,74.0
182521,T. Kroos,24.0,Toni Kroos,183,86,33,Germany,51.0,80.0,90.0,81.0,70.0,71.0
186153,W. Szczęsny,24.0,Wojciech Tomasz Szczęsny,195,86,33,Poland,,,,,,
186942,İ. Gündoğan,24.0,İlkay Gündoğan,180,86,32,Germany,62.0,81.0,84.0,86.0,72.0,73.0
189513,Parejo,24.0,Daniel Parejo Muñoz,182,86,34,Spain,49.0,83.0,90.0,80.0,73.0,69.0
204485,R. Mahrez,24.0,Riyad Mahrez,179,86,32,Algeria,79.0,81.0,81.0,89.0,38.0,60.0
208722,S. Mané,24.0,Sadio Mané,174,86,31,Senegal,85.0,83.0,79.0,87.0,44.0,74.0
210514,João Cancelo,24.0,João Pedro Cavaco Cancelo,182,86,29,Portugal,81.0,73.0,85.0,84.0,80.0,72.0
211110,P. Dybala,24.0,Paulo Bruno Exequiel Dybala,177,86,29,Argentina,80.0,85.0,85.0,90.0,40.0,60.0
215914,N. Kanté,24.0,N'Golo Kanté,168,86,32,France,69.0,65.0,73.0,80.0,85.0,77.0
216267,A. Robertson,24.0,Andrew Robertson,178,86,29,Scotland,80.0,61.0,82.0,81.0,81.0,77.0
223848,S. Milinković-Savić,24.0,Sergej Milinković-Savić,192,86,28,Serbia,68.0,80.0,82.0,82.0,79.0,86.0
243812,Rodrygo,24.0,Rodrygo Silva de Goes,174,85,22,Brazil,88.0,81.0,79.0,86.0,31.0,62.0
256630,F. Wirtz,24.0,Florian Richard Wirtz,177,85,20,Germany,74.0,76.0,83.0,87.0,52.0,63.0
232656,T. Hernández,24.0,Theo Bernard François Hernández,184,85,25,France,93.0,71.0,76.0,81.0,78.0,84.0
237383,A. Bastoni,24.0,Alessandro Bastoni,190,85,24,Italy,73.0,35.0,72.0,73.0,86.0,83.0
237692,P. Foden,24.0,Philip Foden,171,85,23,England,81.0,79.0,82.0,88.0,57.0,60.0
241486,J. Koundé,24.0,Jules Koundé,180,85,24,France,84.0,45.0,68.0,75.0,86.0,80.0
231677,M. Rashford,24.0,Marcus Rashford,186,85,25,England,90.0,86.0,78.0,84.0,42.0,74.0
224458,Diogo Jota,24.0,Diogo José Teixeira da Silva,178,85,26,Portugal,82.0,82.0,75.0,85.0,57.0,77.0
234378,D. Rice,24.0,Declan Rice,185,85,24,England,71.0,65.0,75.0,77.0,83.0,83.0
203574,J. Stones,24.0,John Stones,188,85,29,England,72.0,52.0,75.0,77.0,85.0,77.0
212218,A. Laporte,24.0,Aymeric Laporte,191,85,29,Spain,61.0,50.0,73.0,69.0,86.0,78.0
226753,A. Onana,24.0,André Onana,190,85,27,Cameroon,,,,,,
186345,K. Trippier,24.0,Kieran Trippier,173,85,32,England,68.0,65.0,86.0,79.0,82.0,72.0
188943,K. Trapp,24.0,Kevin Trapp,189,85,32,Germany,,,,,,
192387,C. Immobile,24.0,Ciro Immobile,185,85,33,Italy,85.0,87.0,68.0,78.0,39.0,74.0
192629,Iago Aspas,24.0,Iago Aspas Juncal,176,85,35,Spain,81.0,85.0,79.0,86.0,35.0,64.0
193041,K. Navas,24.0,Keylor Navas Gamboa,185,85,36,Costa Rica,,,,,,
197445,D. Alaba,24.0,David Olatukunbo Alaba,180,85,31,Austria,79.0,71.0,83.0,80.0,85.0,77.0
201535,R. Varane,24.0,Raphaël Varane,191,85,30,France,79.0,49.0,64.0,67.0,86.0,78.0
202811,E. Martínez,24.0,Damián Emiliano Martínez,195,85,30,Argentina,,,,,,
205452,A. Rüdiger,24.0,Antonio Rüdiger,190,85,30,Germany,82.0,54.0,71.0,66.0,84.0,86.0
206517,J. Grealish,24.0,Jack Grealish,180,85,27,England,76.0,76.0,84.0,88.0,53.0,73.0
208128,H. Çalhanoğlu,24.0,Hakan Çalhanoğlu,178,85,29,Turkey,67.0,80.0,86.0,85.0,70.0,66.0
209658,L. Goretzka,24.0,Leon Christoph Goretzka,189,85,28,Germany,78.0,81.0,81.0,83.0,80.0,86.0
209981,Y. Bounou,24.0,Yassine Bounou,195,85,32,Morocco,,,,,,
209989,T. Partey,24.0,Thomas Partey,185,85,30,Ghana,68.0,71.0,82.0,80.0,81.0,82.0
210935,D. Berardi,24.0,Domenico Berardi,183,85,28,Italy,82.0,83.0,81.0,87.0,36.0,72.0
213345,K. Coman,24.0,Kingsley Junior Coman,181,85,27,France,89.0,76.0,79.0,87.0,30.0,62.0
217870,G. Di Lorenzo,24.0,Giovanni Di Lorenzo,183,85,29,Italy,85.0,67.0,75.0,79.0,82.0,82.0
224334,M. Acuña,24.0,Marcos Javier Acuña,172,85,31,Argentina,75.0,74.0,83.0,83.0,81.0,84.0
241637,A. Tchouaméni,24.0,Aurélien Tchouaméni,187,84,23,France,73.0,69.0,79.0,78.0,81.0,81.0
226754,I. Bennacer,24.0,Ismaël Bennacer,175,84,25,Algeria,80.0,72.0,81.0,86.0,79.0,78.0
232756,F. Tomori,24.0,Fikayo Tomori,185,84,25,England,86.0,40.0,59.0,66.0,86.0,82.0
241852,M. Diaby,24.0,Moussa Diaby,171,84,23,France,95.0,73.0,75.0,86.0,42.0,59.0
251566,Gabriel Martinelli,24.0,Gabriel Teodoro Martinelli Silva,178,84,22,Brazil,89.0,78.0,76.0,86.0,46.0,72.0
233934,A. Ramsdale,24.0,Aaron Ramsdale,191,84,25,England,,,,,,
237679,R. Kolo Muani,24.0,Randal Kolo Muani,187,84,24,France,91.0,78.0,73.0,86.0,38.0,67.0
239301,L. Martínez,24.0,Lisandro Martínez,178,84,25,Argentina,73.0,59.0,78.0,79.0,85.0,83.0
239580,Bremer,24.0,Gleison Bremer Silva Nascimento,188,84,26,Brazil,80.0,50.0,56.0,65.0,85.0,83.0
247851,Bruno Guimarães,24.0,Bruno Guimarães Rodriguez Moura,182,84,25,Brazil,71.0,74.0,81.0,84.0,80.0,81.0
212190,N. Süle,24.0,Niklas Süle,195,84,27,Germany,73.0,51.0,68.0,62.0,85.0,85.0
224293,Rúben Neves,24.0,Rúben Diogo da Silva Neves,183,84,26,Portugal,60.0,75.0,86.0,77.0,76.0,73.0
227127,Álex Remiro,24.0,Alejandro Remiro Gargallo,192,84,28,Spain,,,,,,
232580,Gabriel,24.0,Gabriel dos Santos Magalhães,190,84,25,Brazil,70.0,41.0,62.0,60.0,85.0,82.0
235212,A. Hakimi,24.0,Achraf Hakimi Mouh,181,84,24,Morocco,92.0,75.0,80.0,80.0,75.0,78.0
237086,Kim Min Jae,24.0,김민재 金敏在,190,84,26,Korea Republic,80.0,33.0,58.0,64.0,85.0,84.0
238074,R. James,24.0,Reece James,178,84,23,England,80.0,72.0,83.0,82.0,82.0,81.0
212194,J. Brandt,24.0,Julian Brandt,185,84,27,Germany,71.0,80.0,84.0,86.0,51.0,70.0
213648,P. Højbjerg,24.0,Pierre-Emile Kordt Højbjerg,187,84,27,Denmark,55.0,73.0,78.0,78.0,81.0,82.0
220697,J. Maddison,24.0,James Maddison,175,84,26,England,71.0,81.0,86.0,86.0,54.0,63.0
220814,L. Hernández,24.0,Lucas François Bernard Hernández Pi,184,84,27,France,76.0,54.0,70.0,70.0,84.0,78.0
225193,Mikel Merino,24.0,Mikel Merino Zazón,189,84,27,Spain,72.0,78.0,82.0,82.0,83.0,82.0
230666,Gabriel Jesus,24.0,Gabriel Fernando de Jesus,175,84,26,Brazil,83.0,82.0,75.0,88.0,40.0,77.0
233419,Raphinha,24.0,Raphael Dias Belloli,176,84,26,Brazil,91.0,79.0,78.0,86.0,53.0,73.0
235805,F. Chiesa,24.0,Federico Chiesa,175,84,25,Italy,91.0,82.0,76.0,86.0,53.0,75.0
241084,L. Díaz,24.0,Luis Fernando Díaz Marulanda,180,84,26,Colombia,91.0,81.0,75.0,87.0,34.0,74.0
164240,Thiago Silva,24.0,Thiago Emiliano da Silva,183,84,38,Brazil,51.0,54.0,74.0,72.0,87.0,74.0
177683,Y. Sommer,24.0,Yann Sommer,183,84,34,Switzerland,,,,,,
185122,P. Gulácsi,24.0,Péter Gulácsi,191,84,33,Hungary,,,,,,
188377,K. Walker,24.0,Kyle Walker,183,84,33,England,90.0,63.0,77.0,78.0,79.0,81.0
189509,Thiago,24.0,Thiago Alcântara do Nascimento,174,84,32,Spain,61.0,72.0,86.0,89.0,71.0,67.0
189596,T. Müller,24.0,Thomas Müller,185,84,33,Germany,59.0,82.0,83.0,79.0,55.0,69.0
189881,C. Smalling,24.0,Chris Smalling,194,84,33,England,62.0,47.0,58.0,62.0,87.0,82.0
192505,R. Lukaku,24.0,Romelu Lukaku Menama,191,84,30,Belgium,80.0,84.0,74.0,77.0,38.0,82.0
192984,K. Casteels,24.0,Koen Casteels,197,84,31,Belgium,,,,,,
193747,Koke,24.0,Jorge Resurrección Merodio,176,84,31,Spain,69.0,72.0,85.0,79.0,79.0,78.0
198706,Luis Alberto,24.0,Luis Alberto Romero Alconchel,183,84,30,Spain,69.0,77.0,85.0,84.0,62.0,58.0
201024,K. Koulibaly,24.0,Kalidou Koulibaly,186,84,32,Senegal,76.0,48.0,63.0,68.0,84.0,83.0
202556,M. Depay,24.0,Memphis Depay,176,84,29,Netherlands,82.0,82.0,81.0,85.0,30.0,80.0
203841,N. Pope,24.0,Nick Pope,199,84,31,England,,,,,,
206113,S. Gnabry,24.0,Serge David Gnabry,176,84,27,Germany,81.0,84.0,78.0,84.0,43.0,68.0
207862,M. Ginter,24.0,Matthias Ginter,189,84,29,Germany,60.0,59.0,71.0,66.0,85.0,80.0
208418,Y. Carrasco,24.0,Yannick Ferreira Carrasco,181,84,29,Belgium,88.0,81.0,80.0,85.0,59.0,66.0
209499,Fabinho,24.0,Fábio Henrique Tavares,188,84,29,Brazil,59.0,69.0,78.0,77.0,82.0,82.0
210008,A. Rabiot,24.0,Adrien Rabiot,191,84,28,France,78.0,76.0,80.0,80.0,82.0,84.0
210035,Grimaldo,24.0,Alejandro Grimaldo García,171,84,27,Spain,87.0,69.0,83.0,84.0,76.0,72.0
212616,R. De Paul,24.0,Rodrigo Javier De Paul,180,84,29,Argentina,78.0,77.0,83.0,82.0,75.0,83.0
216435,S. Lobotka,24.0,Stanislav Lobotka,170,84,28,Slovakia,71.0,70.0,81.0,83.0,77.0,75.0
222492,L. Sané,24.0,Leroy Aziz Sané,183,84,27,Germany,91.0,81.0,80.0,85.0,38.0,68.0
226161,Marcos Llorente,24.0,Marcos Llorente Moreno,184,84,28,Spain,89.0,78.0,79.0,80.0,78.0,81.0
232363,M. Škriniar,24.0,Milan Škriniar,187,84,28,Slovakia,78.0,41.0,57.0,67.0,86.0,83.0
264240,Gavi,24.0,Pablo Martín Páez Gavira,173,83,18,Spain,76.0,66.0,78.0,85.0,68.0,70.0
243715,W. Saliba,24.0,William Alain André Gabriel Saliba,193,83,22,France,82.0,39.0,69.0,73.0,84.0,82.0
247090,E. Fernández,24.0,Enzo Jeremías Fernández,178,83,22,Argentina,73.0,73.0,81.0,80.0,75.0,79.0
234396,A. Davies,24.0,Alphonso Boyle Davies,185,83,22,Canada,95.0,66.0,78.0,84.0,74.0,77.0
242516,C. Gakpo,24.0,Cody Mathès Gakpo,189,83,24,Netherlands,85.0,82.0,78.0,84.0,42.0,73.0
246430,D. Vlahović,24.0,Dušan Vlahović,190,83,23,Serbia,80.0,85.0,66.0,79.0,29.0,82.0
247819,N. Schlotterbeck,24.0,Nico Schlotterbeck,191,83,23,Germany,78.0,58.0,67.0,73.0,85.0,82.0
253149,J. Frimpong,24.0,Jeremie Agyekum Frimpong,171,83,22,Netherlands,94.0,56.0,75.0,84.0,74.0,70.0
244260,Dani Olmo,24.0,Daniel Olmo Carvajal,179,83,25,Spain,68.0,76.0,82.0,86.0,50.0,59.0
251809,S. Botman,24.0,Sven Botman,193,83,23,Netherlands,65.0,37.0,63.0,66.0,84.0,84.0
230869,Unai Simón,24.0,Unai Simón Mendibil,190,83,26,Spain,,,,,,
241464,Pau Torres,24.0,Pau Francisco Torres,191,83,26,Spain,72.0,38.0,68.0,70.0,84.0,81.0
213661,A. Christensen,24.0,Andreas Bødtker Christensen,187,83,27,Denmark,67.0,32.0,68.0,71.0,85.0,76.0
216460,J. Giménez,24.0,José María Giménez de Vargas,185,83,28,Uruguay,71.0,46.0,58.0,61.0,85.0,82.0
225116,A. Meret,24.0,Alex Meret,190,83,26,Italy,,,,,,
229582,G. Mancini,24.0,Gianluca Mancini,190,83,27,Italy,67.0,45.0,54.0,62.0,83.0,86.0
225375,K. Laimer,24.0,Konrad Laimer,180,83,26,Austria,80.0,69.0,77.0,78.0,81.0,79.0
225659,G. Rodríguez,24.0,Guido Rodríguez,185,83,28,Argentina,51.0,58.0,72.0,70.0,85.0,80.0
226851,B. Pavard,24.0,Benjamin Pavard,186,83,27,France,70.0,62.0,73.0,72.0,85.0,78.0
227236,A. Zambo Anguissa,24.0,André-Franck Zambo Anguissa,184,83,27,Cameroon,78.0,68.0,72.0,81.0,81.0,86.0
228251,L. Pellegrini,24.0,Lorenzo Pellegrini,186,83,27,Italy,79.0,76.0,83.0,83.0,74.0,78.0
229391,Palhinha,24.0,João Maria Lobo Alves Palhinha Gonçalves,190,83,27,Portugal,62.0,67.0,71.0,76.0,84.0,89.0
230142,Oyarzabal,24.0,Mikel Oyarzabal Ugarte,181,83,26,Spain,77.0,83.0,80.0,83.0,41.0,62.0
234236,P. Schick,24.0,Patrik Schick,191,83,27,Czech Republic,79.0,80.0,71.0,81.0,37.0,76.0
155862,Sergio Ramos,24.0,Sergio Ramos García,184,83,37,Spain,57.0,69.0,73.0,70.0,83.0,76.0
167948,H. Lloris,24.0,Hugo Lloris,188,83,36,France,,,,,,
178603,M. Hummels,24.0,Mats Hummels,191,83,34,Germany,53.0,58.0,76.0,70.0,86.0,78.0
180930,E. Džeko,24.0,Edin Džeko,193,83,37,Bosnia and Herzegovina,59.0,84.0,72.0,77.0,45.0,76.0
183898,Á. Di María,24.0,Ángel Fabián Di María Hernández,180,83,35,Argentina,78.0,78.0,86.0,89.0,48.0,67.0
188350,M. Reus,24.0,Marco Reus,180,83,34,Germany,65.0,83.0,83.0,85.0,53.0,63.0
189332,Jordi Alba,24.0,Jordi Alba Ramos,170,83,34,Spain,84.0,70.0,82.0,81.0,76.0,70.0
189511,Sergio Busquets,24.0,Sergio Busquets i Burgos,189,83,34,Spain,37.0,62.0,79.0,79.0,81.0,73.0
190460,C. Eriksen,24.0,Christian Dannemann Eriksen,181,83,31,Denmark,59.0,77.0,89.0,81.0,51.0,53.0
193301,A. Lacazette,24.0,Alexandre Lacazette,175,83,32,France,72.0,84.0,77.0,83.0,44.0,77.0
199451,W. Ben Yedder,24.0,Wissam Ben Yedder,170,83,32,France,80.0,84.0,78.0,87.0,39.0,68.0
199845,F. Acerbi,24.0,Francesco Acerbi,192,83,35,Italy,60.0,50.0,64.0,64.0,86.0,80.0
200724,Nacho Fernández,24.0,José Ignacio Fernández Iglesias,180,83,33,Spain,75.0,37.0,69.0,71.0,82.0,80.0
201153,Morata,24.0,Álvaro Borja Morata Martín,190,83,30,Spain,82.0,82.0,72.0,79.0,31.0,79.0
202648,Sergi Darder,24.0,Sergi Darder Moll,180,83,29,Spain,81.0,76.0,82.0,83.0,74.0,77.0
202652,R. Sterling,24.0,Raheem Sterling,170,83,28,England,85.0,78.0,76.0,85.0,45.0,67.0
204638,W. Orban,24.0,Vilmos Tamás Orban,186,83,30,Hungary,58.0,36.0,56.0,56.0,85.0,81.0
205498,Jorginho,24.0,Luiz Frello Filho Jorge,178,83,31,Italy,53.0,67.0,84.0,81.0,74.0,73.0
205693,S. Haller,24.0,Sébastien Haller,191,83,29,Côte d'Ivoire,62.0,81.0,63.0,76.0,52.0,81.0
205988,L. Shaw,24.0,Luke Shaw,181,83,27,England,76.0,57.0,82.0,79.0,81.0,78.0
208093,Gerard Moreno,24.0,Gerard Moreno Balagueró,180,83,31,Spain,77.0,85.0,77.0,81.0,46.0,72.0
208333,E. Can,24.0,Emre Can,186,83,29,Germany,79.0,78.0,77.0,79.0,82.0,87.0
208574,F. Kostić,24.0,Filip Kostić,184,83,30,Serbia,85.0,76.0,82.0,82.0,70.0,80.0
210324,J. Hofmann,24.0,Jonas Hofmann,176,83,30,Germany,76.0,79.0,83.0,81.0,64.0,73.0
210406,P. Zieliński,24.0,Piotr Sebastian Zieliński,180,83,29,Poland,81.0,77.0,81.0,86.0,71.0,63.0
210413,A. Romagnoli,24.0,Alessio Romagnoli,185,83,28,Italy,69.0,40.0,56.0,69.0,85.0,80.0
216352,M. Brozović,24.0,Marcelo Brozović,181,83,30,Croatia,66.0,74.0,81.0,80.0,80.0,78.0
216547,Rafa,24.0,Rafael Alexandre Fernandes Ferreira da Silva,172,83,30,Portugal,93.0,77.0,77.0,86.0,50.0,54.0
216594,N. Fekir,24.0,Nabil Fekir,173,83,29,France,82.0,81.0,81.0,86.0,39.0,80.0
220834,Marco Asensio,24.0,Marco Asensio Willemsen,182,83,27,Spain,81.0,81.0,81.0,83.0,43.0,63.0
224179,Borja Iglesias,24.0,Borja Iglesias Quintás,187,83,30,Spain,69.0,84.0,66.0,76.0,40.0,82.0
230481,Ronaldo Cabrais,24.0,Ronaldo Jailson Cabrais Petri,177,83,31,Brazil,88.0,77.0,83.0,84.0,35.0,72.0
248243,E. Camavinga,24.0,Eduardo Celmi Camavinga,182,82,20,France,79.0,66.0,80.0,82.0,76.0,80.0
234577,Diogo Costa,24.0,Diogo Meireles Costa,192,82,23,Portugal,,,,,,
241461,Ferran Torres,24.0,Ferran Torres García,184,82,23,Spain,83.0,79.0,78.0,83.0,35.0,68.0
251517,J. Gvardiol,24.0,Joško Gvardiol,185,82,21,Croatia,78.0,54.0,69.0,74.0,82.0,83.0
253072,D. Núñez,24.0,Darwin Gabriel Núñez Ribeiro,187,82,24,Uruguay,90.0,81.0,71.0,76.0,43.0,85.0
233486,R. Le Normand,24.0,Robin Le Normand,187,82,26,Spain,62.0,26.0,54.0,59.0,84.0,79.0
235790,K. Havertz,24.0,Kai Lukas Havertz,190,82,24,Germany,78.0,79.0,79.0,83.0,45.0,68.0
252145,Nuno Mendes,24.0,Nuno Alexandre Tavares Mendes,176,82,21,Portugal,89.0,58.0,75.0,80.0,77.0,76.0
222077,M. Locatelli,24.0,Manuel Locatelli,185,82,25,Italy,67.0,70.0,80.0,78.0,79.0,80.0
229558,D. Upamecano,24.0,Dayotchanculle Oswald Upamecano,186,82,24,France,83.0,45.0,63.0,72.0,81.0,83.0
232488,C. Romero,24.0,Cristian Gabriel Romero,185,82,25,Argentina,70.0,46.0,59.0,66.0,84.0,80.0
233049,J. Sancho,24.0,Jadon Sancho,180,82,23,England,78.0,70.0,80.0,87.0,33.0,47.0
233084,N. Molina,24.0,Nahuel Molina Lucero,175,82,25,Argentina,85.0,67.0,76.0,79.0,78.0,71.0
236772,D. Szoboszlai,24.0,Dominik Szoboszlai,186,82,22,Hungary,83.0,82.0,84.0,82.0,34.0,64.0
243245,O. Kökçü,24.0,Orkun Kökçü,175,82,22,Turkey,72.0,76.0,83.0,80.0,69.0,79.0
243580,L. Openda,24.0,Ikoma Loïs Openda,177,82,23,Belgium,93.0,79.0,68.0,80.0,31.0,78.0
226268,F. Dimarco,24.0,Federico Dimarco,175,82,25,Italy,79.0,71.0,80.0,79.0,74.0,71.0
227535,R. Bentancur,24.0,Rodrigo Bentancur Colmán,187,82,26,Uruguay,70.0,67.0,81.0,83.0,79.0,77.0
236401,N. Mazraoui,24.0,Noussair Mazraoui,183,82,25,Morocco,79.0,66.0,77.0,83.0,77.0,74.0
240091,G. Vicario,24.0,Guglielmo Vicario,188,82,26,Italy,,,,,,
240950,Pedro Gonçalves,24.0,Pedro António Pereira Gonçalves,173,82,25,Portugal,76.0,82.0,81.0,84.0,58.0,66.0
244369,V. Tsygankov,24.0,Viktor Tsygankov,178,82,25,Ukraine,85.0,78.0,79.0,81.0,46.0,61.0
246242,B. Dia,24.0,Boulaye Dia,180,82,26,Senegal,82.0,81.0,62.0,81.0,27.0,77.0
204935,J. Pickford,24.0,Jordan Pickford,185,82,29,England,,,,,,
216393,Y. Tielemans,24.0,Youri Tielemans,176,82,26,Belgium,50.0,79.0,85.0,79.0,69.0,69.0
223197,E. Ünal,24.0,Enes Ünal,187,82,26,Turkey,72.0,84.0,70.0,82.0,40.0,80.0
223959,L. Torreira,24.0,Lucas Torreira Di Pascua,166,82,27,Uruguay,76.0,70.0,77.0,80.0,79.0,78.0
225850,P. Kimpembe,24.0,Presnel Kimpembe,189,82,27,France,79.0,43.0,68.0,69.0,81.0,86.0
230938,F. Kessié,24.0,Franck Yannick Kessié,183,82,26,Côte d'Ivoire,79.0,76.0,74.0,79.0,81.0,87.0
231447,D. Malen,24.0,Donyell Malen,178,82,24,Netherlands,89.0,80.0,73.0,85.0,35.0,73.0
239837,A. Mac Allister,24.0,Alexis Mac Allister,176,82,24,Argentina,70.0,79.0,82.0,82.0,70.0,72.0
241671,D. Livaković,24.0,Dominik Livaković,187,82,28,Croatia,,,,,,
212188,T. Werner,24.0,Timo Werner,180,82,27,Germany,91.0,80.0,70.0,82.0,35.0,69.0
213565,T. Lemar,24.0,Thomas Lemar,171,82,27,France,82.0,78.0,83.0,86.0,67.0,65.0
223334,Joelinton,24.0,Joelinton Cassio Apolinário de Lira,186,82,26,Brazil,78.0,71.0,76.0,82.0,81.0,88.0
225341,David García,24.0,David García Zubiría,185,82,29,Spain,59.0,37.0,66.0,65.0,83.0,77.0
229237,M. Akanji,24.0,Manuel Obafemi Akanji,187,82,27,Switzerland,77.0,48.0,70.0,72.0,83.0,78.0
229668,Mario Hermoso,24.0,Mario Hermoso Canseco,184,82,28,Spain,75.0,49.0,74.0,71.0,82.0,79.0
